,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 1043)",1,2,1,3,0,4,2,3
"('cell', 157)",0,0,2,1,0,1,2,1
"('cell', 137)",0,0,1,0,0,0,3,1
"('cell', 85)",0,0,1,1,0,2,2,0
"('cell', 8)",1,0,0,1,0,3,5,0
"('cell', 2176)",0,1,1,5,0,0,1,0
"('cell', 674)",0,2,2,1,1,3,2,1
"('cell', 22)",0,0,1,3,0,0,1,0
"('cell', 1400)",0,1,5,5,3,0,2,1
"('cell', 1267)",1,1,2,6,1,0,2,4
"('cell', 1312)",1,2,2,6,1,0,2,4
"('cell', 2195)",3,2,1,8,1,3,3,1
"('cell', 2178)",3,2,0,6,0,2,5,0
"('cell', 1386)",0,1,7,3,1,0,2,1
"('cell', 1442)",0,1,7,6,3,0,2,0
"('cell', 1554)",0,1,2,6,7,0,3,2
"('cell', 1483)",0,1,4,7,5,0,2,1
"('cell', 1513)",0,1,4,7,5,0,3,1
"('cell', 498)",0,3,0,2,0,4,5,2
"('cell', 430)",0,3,2,3,1,5,9,3
"('cell', 191)",0,0,2,1,0,0,2,0
"('cell', 747)",0,1,3,0,0,1,0,0
"('cell', 862)",0,1,3,1,0,1,2,1
"('cell', 768)",0,1,3,1,1,1,1,1
"('cell', 12)",0,0,3,5,0,1,1,0
"('cell', 18)",0,0,1,4,0,0,1,0
"('cell', 10)",0,0,5,4,0,2,0,1
"('cell', 30)",0,0,7,3,0,4,1,1
"('cell', 1227)",1,1,3,7,1,0,2,5
"('cell', 3)",0,0,4,1,0,0,2,0
"('cell', 1)",0,0,2,1,0,0,3,0
"('cell', 20)",0,0,7,2,0,1,2,0
"('cell', 13)",0,0,6,3,0,2,1,1
"('cell', 1236)",0,1,5,7,0,0,2,2
"('cell', 1261)",1,1,5,6,0,0,2,3
"('cell', 1270)",1,1,6,6,0,0,1,3
"('cell', 1298)",0,1,6,4,0,0,2,2
"('cell', 1318)",0,1,6,5,0,0,2,2
"('cell', 2181)",5,2,1,8,1,2,1,1
"('cell', 2192)",5,1,1,6,0,1,2,0
"('cell', 2044)",7,3,3,5,5,6,7,1
"('cell', 2083)",1,0,1,13,0,1,1,1
"('cell', 1924)",6,0,0,9,0,0,2,1
"('cell', 1866)",7,0,0,7,0,0,2,0
"('cell', 2101)",3,2,2,4,0,1,7,4
"('cell', 1486)",0,1,7,6,2,0,1,1
"('cell', 1535)",0,1,6,8,6,0,1,3
"('cell', 1662)",6,4,1,12,1,0,1,4
"('cell', 1722)",5,4,1,16,1,0,1,0
"('cell', 202)",0,1,2,3,0,1,2,0
"('cell', 153)",0,0,2,3,0,1,2,0
"('cell', 98)",0,0,2,3,0,1,2,0
"('cell', 268)",0,1,4,1,0,0,4,0
"('cell', 258)",0,1,2,3,0,0,1,0
"('cell', 247)",0,0,4,0,0,0,4,1
"('cell', 218)",0,0,3,0,0,0,1,0
"('cell', 408)",0,4,3,2,1,3,6,1
"('cell', 390)",0,2,2,2,1,3,8,1
"('cell', 394)",0,2,7,0,0,4,3,0
"('cell', 426)",0,4,7,2,0,5,5,0
"('cell', 356)",0,3,6,3,0,2,0,0
"('cell', 288)",0,0,4,2,0,0,7,2
"('cell', 329)",0,1,2,1,0,2,8,2
"('cell', 861)",0,1,3,1,0,0,2,1
"('cell', 834)",0,1,3,0,0,1,1,1
"('cell', 875)",0,1,3,1,0,1,2,1
"('cell', 923)",0,1,2,3,0,2,2,1
"('cell', 695)",0,3,3,2,1,4,3,1
"('cell', 787)",0,1,1,2,0,2,3,3
"('cell', 837)",0,1,1,1,0,1,2,1
"('cell', 1083)",3,6,0,9,0,5,9,2
"('cell', 427)",0,4,4,4,3,6,7,1
"('cell', 23)",0,0,1,4,0,2,1,0
"('cell', 19)",0,0,2,4,0,2,1,0
"('cell', 35)",0,0,0,3,0,4,1,1
"('cell', 28)",0,0,4,4,0,4,0,1
"('cell', 615)",1,0,5,6,0,0,3,0
"('cell', 587)",0,0,5,3,0,3,1,0
"('cell', 628)",0,0,5,1,0,3,2,1
"('cell', 1029)",8,3,2,8,3,0,4,11
"('cell', 1005)",9,3,3,9,3,0,6,14
"('cell', 180)",0,1,6,2,0,0,0,3
"('cell', 533)",4,1,2,7,0,5,6,5
"('cell', 90)",0,2,1,3,0,0,0,3
"('cell', 127)",0,2,0,5,0,1,1,3
"('cell', 206)",1,2,4,4,0,5,2,2
"('cell', 186)",1,2,4,3,0,1,0,3
"('cell', 254)",1,1,7,2,0,0,0,2
"('cell', 229)",1,1,6,3,0,1,0,3
