,CELL_ID,X,Y
2810,2811,755,1433
2814,2815,858,1433
2800,2801,871,1427
2805,2806,790,1433
2714,2715,1003,1355
2806,2807,805,1430
2815,2816,836,1434
2660,2661,1504,1318
2661,2662,1541,1318
2768,2769,1332,1393
2619,2620,1455,1294
2650,2651,1517,1310
2780,2781,1002,1409
2733,2734,1011,1376
2813,2814,1276,1432
2778,2779,1361,1406
2759,2760,1347,1386
2786,2787,1341,1410
2766,2767,1372,1392
2794,2795,1353,1420
2787,2788,1398,1412
2817,2818,944,1436
2635,2636,1558,1304
2646,2647,1455,1309
2704,2705,1364,1349
2723,2724,1345,1361
2745,2746,1365,1376
2781,2782,1276,1406
2606,2607,1466,1284
2620,2621,1529,1293
566,567,1315,364
536,537,1290,354
18,19,807,14
224,225,402,149
1614,1615,1830,826
2793,2794,1052,1422
2785,2786,1036,1409
2801,2802,1020,1424
2771,2772,1051,1393
2797,2798,1123,1421
2792,2793,1069,1413
2808,2809,1083,1430
871,872,253,525
918,919,244,546
906,907,273,541
921,922,297,549
1106,1107,285,619
826,827,240,505
1290,1291,346,689
1324,1325,328,702
2770,2771,1103,1394
1517,1518,1239,788
1569,1570,1259,808
2799,2800,823,1423
2790,2791,860,1417
2767,2768,975,1396
711,712,690,439
1985,1986,1844,974
2067,2068,1819,1019
2024,2025,1801,1000
2038,2039,1824,1003
2019,2020,1843,997
2080,2081,1779,1022
1949,1950,1784,963
1992,1993,1788,986
1984,1985,1817,978
1919,1920,1776,946
1934,1935,1807,954
2639,2640,1424,1304
2655,2656,1437,1315
2623,2624,1435,1295
2691,2692,1352,1340
2675,2676,1368,1326
2658,2659,1341,1317
2645,2646,1409,1309
2602,2603,1445,1282
2593,2594,1427,1276
2380,2381,1604,1175
2151,2152,1179,1060
317,318,1328,223
295,296,1311,208
235,236,1588,157
213,214,1556,143
229,230,1569,154
569,570,1197,369
565,566,1219,366
605,606,1158,382
548,549,1193,348
544,545,1212,349
512,513,1227,337
734,735,1179,448
695,696,674,432
266,267,1021,183
189,190,1004,128
181,182,1019,120
46,47,992,33
64,65,971,53
62,63,1005,49
13,14,977,12
1,2,787,5
29,30,517,28
19,20,536,19
322,323,802,227
302,303,543,212
314,315,818,221
543,544,844,348
433,434,867,286
1453,1454,1531,755
1322,1323,1845,703
1246,1247,1834,675
1214,1215,1829,657
1244,1245,1811,672
1066,1067,432,607
945,946,312,553
941,942,278,557
953,954,249,561
1080,1081,271,612
596,597,420,377
510,511,431,334
405,406,438,271
539,540,421,350
