,CELL_ID,CELL_TYPE,CELL_CLASS
1717,1718,Tumor 1,Tumor
2061,2062,Tumor 1,Tumor
2152,2153,Tumor 4,Tumor
2151,2152,Tumor 3,Tumor
2154,2155,Tumor 1,Tumor
2120,2121,Tumor 4,Tumor
2108,2109,Tumor 4,Tumor
1796,1797,Tumor 1,Tumor
1804,1805,Tumor 1,Tumor
666,667,Tumor 4,Tumor
374,375,Tumor 1,Tumor
409,410,Tumor 1,Tumor
387,388,Tumor 3,Tumor
1662,1663,Tumor 1,Tumor
1725,1726,Tumor 1,Tumor
2153,2154,Tumor 4,Tumor
2135,2136,Tumor 4,Tumor
1951,1952,Tumor 4,Tumor
1341,1342,Tumor 2 (Ki67 Proliferating),Tumor
960,961,Tumor 7,Tumor
992,993,Tumor 1,Tumor
917,918,Tumor 3,Tumor
933,934,Tumor 3,Tumor
958,959,Tumor 1,Tumor
879,880,Tumor 1,Tumor
398,399,Tumor 4,Tumor
1699,1700,Tumor 4,Tumor
1901,1902,Tumor 2 (Ki67 Proliferating),Tumor
699,700,Tumor 4,Tumor
852,853,Tumor 4,Tumor
575,576,Tumor 4,Tumor
635,636,Tumor 4,Tumor
104,105,Tumor 4,Tumor
791,792,Tumor 4,Tumor
1036,1037,Tumor 4,Tumor
1692,1693,Tumor 1,Tumor
2051,2052,Tumor 4,Tumor
1721,1722,Tumor 4,Tumor
2056,2057,Tumor 4,Tumor
2040,2041,Tumor 4,Tumor
2072,2073,Tumor 4,Tumor
2141,2142,Tumor 4,Tumor
2116,2117,Tumor 4,Tumor
2093,2094,Tumor 1,Tumor
2103,2104,Tumor 4,Tumor
2046,2047,Tumor 4,Tumor
1987,1988,Tumor 4,Tumor
2044,2045,Tumor 4,Tumor
2028,2029,Tumor 4,Tumor
1960,1961,Tumor 4,Tumor
890,891,Tumor 4,Tumor
927,928,Tumor 1,Tumor
1606,1607,Tumor 1,Tumor
1212,1213,Tumor 4,Tumor
1022,1023,Tumor 1,Tumor
1031,1032,Tumor 6 / DC,Tumor
946,947,Tumor 1,Tumor
1006,1007,Tumor 7,Tumor
1005,1006,Tumor 1,Tumor
162,163,Tumor 3,Tumor
227,228,Tumor 1,Tumor
242,243,Tumor 3,Tumor
200,201,Tumor 1,Tumor
261,262,Tumor 4,Tumor
213,214,Tumor 3,Tumor
285,286,Tumor 6 / DC,Tumor
798,799,Tumor 4,Tumor
679,680,Tumor 4,Tumor
642,643,Tumor 4,Tumor
1237,1238,Tumor 2 (Ki67 Proliferating),Tumor
988,989,Tumor 2 (Ki67 Proliferating),Tumor
478,479,Tumor 4,Tumor
523,524,Tumor 4,Tumor
648,649,Tumor 4,Tumor
557,558,Tumor 4,Tumor
618,619,Tumor 4,Tumor
512,513,Tumor 4,Tumor
538,539,Tumor 4,Tumor
606,607,Tumor 4,Tumor
1990,1991,Tumor 4,Tumor
2021,2022,Tumor 4,Tumor
2081,2082,Tumor 4,Tumor
1695,1696,Tumor 7,Tumor
729,730,Tumor 4,Tumor
774,775,Tumor 4,Tumor
732,733,Tumor 4,Tumor
659,660,Tumor 4,Tumor
638,639,Tumor 4,Tumor
597,598,Tumor 4,Tumor
568,569,Tumor 4,Tumor
808,809,Tumor 4,Tumor
730,731,Tumor 4,Tumor
709,710,Tumor 4,Tumor
788,789,Tumor 4,Tumor
617,618,Tumor 4,Tumor
660,661,Tumor 4,Tumor
646,647,Tumor 4,Tumor
684,685,Tumor 4,Tumor
636,637,Tumor 4,Tumor
592,593,Tumor 4,Tumor
599,600,Tumor 4,Tumor
551,552,Tumor 4,Tumor
505,506,Tumor 4,Tumor
465,466,Tumor 4,Tumor
439,440,Tumor 4,Tumor
435,436,Tumor 4,Tumor
308,309,Tumor 1,Tumor
363,364,Tumor 1,Tumor
455,456,Tumor 4,Tumor
536,537,Tumor 4,Tumor
501,502,Tumor 4,Tumor
486,487,Tumor 4,Tumor
573,574,Tumor 4,Tumor
598,599,Tumor 4,Tumor
531,532,Tumor 4,Tumor
566,567,Tumor 4,Tumor
623,624,Tumor 4,Tumor
655,656,Tumor 4,Tumor
1387,1388,Tumor 4,Tumor
1437,1438,Tumor 4,Tumor
281,282,Tumor 4,Tumor
472,473,Tumor 4,Tumor
444,445,Tumor 4,Tumor
526,527,Tumor 4,Tumor
498,499,Tumor 4,Tumor
386,387,Tumor 1,Tumor
288,289,Tumor 4,Tumor
188,189,Tumor 4,Tumor
139,140,Tumor 4,Tumor
56,57,Tumor 4,Tumor
68,69,Tumor 4,Tumor
58,59,Tumor 1,Tumor
27,28,Tumor 4,Tumor
746,747,Tumor 4,Tumor
570,571,Tumor 4,Tumor
595,596,Tumor 4,Tumor
565,566,Tumor 4,Tumor
548,549,Tumor 4,Tumor
504,505,Tumor 4,Tumor
541,542,Tumor 4,Tumor
499,500,Tumor 4,Tumor
515,516,Tumor 4,Tumor
449,450,Tumor 4,Tumor
467,468,Tumor 4,Tumor
881,882,Tumor 4,Tumor
784,785,Tumor 3,Tumor
744,745,Tumor 4,Tumor
989,990,Tumor 4,Tumor
1703,1704,Tumor 4,Tumor
1647,1648,Tumor 1,Tumor
2002,2003,Tumor 4,Tumor
2009,2010,Tumor 1,Tumor
2104,2105,Tumor 4,Tumor
2100,2101,Tumor 1,Tumor
1969,1970,Tumor 4,Tumor
2088,2089,Tumor 4,Tumor
2015,2016,Tumor 4,Tumor
2034,2035,Tumor 4,Tumor
2016,2017,Tumor 4,Tumor
2042,2043,Tumor 4,Tumor
1875,1876,Tumor 4,Tumor
1917,1918,Tumor 6 / DC,Tumor
1962,1963,Tumor 4,Tumor
696,697,Tumor 4,Tumor
1015,1016,Tumor 4,Tumor
1095,1096,Tumor 6 / DC,Tumor
1032,1033,Tumor 4,Tumor
1127,1128,Tumor 6 / DC,Tumor
1150,1151,Tumor 7,Tumor
878,879,Tumor 6 / DC,Tumor
913,914,Tumor 7,Tumor
207,208,Tumor 7,Tumor
165,166,Tumor 3,Tumor
128,129,Tumor 2 (Ki67 Proliferating),Tumor
79,80,Tumor 3,Tumor
126,127,Tumor 7,Tumor
146,147,Tumor 3,Tumor
157,158,Tumor 2 (Ki67 Proliferating),Tumor
349,350,Tumor 4,Tumor
414,415,Tumor 4,Tumor
345,346,Tumor 4,Tumor
447,448,Tumor 4,Tumor
460,461,Tumor 4,Tumor
418,419,Tumor 4,Tumor
384,385,Tumor 4,Tumor
378,379,Tumor 4,Tumor
373,374,Tumor 4,Tumor
477,478,Tumor 4,Tumor
489,490,Tumor 4,Tumor
419,420,Tumor 4,Tumor
208,209,Tumor 3,Tumor
45,46,Tumor 7,Tumor
60,61,Tumor 2 (Ki67 Proliferating),Tumor
77,78,Tumor 3,Tumor
94,95,Tumor 3,Tumor
76,77,Tumor 3,Tumor
21,22,Tumor 3,Tumor
416,417,Tumor 4,Tumor
102,103,Tumor 2 (Ki67 Proliferating),Tumor
84,85,Tumor 2 (Ki67 Proliferating),Tumor
113,114,Tumor 7,Tumor
25,26,Tumor 4,Tumor
38,39,Tumor 4,Tumor
51,52,Tumor 4,Tumor
49,50,Tumor 4,Tumor
621,622,Tumor 4,Tumor
678,679,Tumor 4,Tumor
708,709,Tumor 4,Tumor
649,650,Tumor 4,Tumor
657,658,Tumor 4,Tumor
612,613,Tumor 4,Tumor
584,585,Tumor 4,Tumor
619,620,Tumor 4,Tumor
534,535,Tumor 4,Tumor
563,564,Tumor 4,Tumor
589,590,Tumor 4,Tumor
607,608,Tumor 4,Tumor
558,559,Tumor 4,Tumor
268,269,Tumor 3,Tumor
1069,1070,Tumor 4,Tumor
672,673,Tumor 4,Tumor
641,642,Tumor 4,Tumor
654,655,Tumor 4,Tumor
1576,1577,Tumor 7,Tumor
476,477,Tumor 4,Tumor
543,544,Tumor 4,Tumor
809,810,Tumor 7,Tumor
839,840,Tumor 4,Tumor
766,767,Tumor 1,Tumor
922,923,Tumor 4,Tumor
1954,1955,Tumor 4,Tumor
1924,1925,Tumor 4,Tumor
1919,1920,Tumor 4,Tumor
1675,1676,Tumor 2 (Ki67 Proliferating),Tumor
1712,1713,Tumor 1,Tumor
2079,2080,Tumor 4,Tumor
2030,2031,Tumor 4,Tumor
2070,2071,Tumor 4,Tumor
2012,2013,Tumor 4,Tumor
2033,2034,Tumor 4,Tumor
2136,2137,Tumor 4,Tumor
1678,1679,Tumor 2 (Ki67 Proliferating),Tumor
1194,1195,Tumor 4,Tumor
1161,1162,Tumor 4,Tumor
748,749,Tumor 4,Tumor
716,717,Tumor 4,Tumor
715,716,Tumor 4,Tumor
673,674,Tumor 4,Tumor
755,756,Tumor 4,Tumor
781,782,Tumor 4,Tumor
893,894,Tumor 4,Tumor
874,875,Tumor 4,Tumor
397,398,Tumor 4,Tumor
535,536,Tumor 4,Tumor
582,583,Tumor 4,Tumor
587,588,Tumor 4,Tumor
518,519,Tumor 4,Tumor
691,692,Tumor 4,Tumor
987,988,Tumor 4,Tumor
1100,1101,Tumor 4,Tumor
896,897,Tumor 1,Tumor
856,857,Tumor 4,Tumor
401,402,Tumor 4,Tumor
333,334,Tumor 1,Tumor
301,302,Tumor 4,Tumor
150,151,Tumor 4,Tumor
267,268,Tumor 4,Tumor
283,284,Tumor 4,Tumor
338,339,Tumor 4,Tumor
294,295,Tumor 4,Tumor
248,249,Tumor 4,Tumor
383,384,Tumor 4,Tumor
65,66,Tumor 4,Tumor
185,186,Tumor 4,Tumor
205,206,Tumor 4,Tumor
210,211,Tumor 1,Tumor
291,292,Tumor 1,Tumor
316,317,Tumor 1,Tumor
354,355,Tumor 4,Tumor
353,354,Tumor 4,Tumor
258,259,Tumor 4,Tumor
273,274,Tumor 4,Tumor
251,252,Tumor 1,Tumor
143,144,Tumor 4,Tumor
295,296,Tumor 1,Tumor
122,123,Tumor 4,Tumor
130,131,Tumor 4,Tumor
87,88,Tumor 4,Tumor
105,106,Tumor 4,Tumor
176,177,Tumor 4,Tumor
154,155,Tumor 4,Tumor
870,871,Tumor 3,Tumor
847,848,Tumor 3,Tumor
831,832,Tumor 4,Tumor
1165,1166,Tumor 4,Tumor
1010,1011,Tumor 2 (Ki67 Proliferating),Tumor
910,911,Tumor 3,Tumor
1009,1010,Tumor 7,Tumor
385,386,Tumor 4,Tumor
379,380,Tumor 4,Tumor
367,368,Tumor 4,Tumor
869,870,Tumor 3,Tumor
821,822,Tumor 3,Tumor
860,861,Tumor 3,Tumor
854,855,Tumor 4,Tumor
943,944,Tumor 2 (Ki67 Proliferating),Tumor
925,926,Tumor 3,Tumor
980,981,Tumor 2 (Ki67 Proliferating),Tumor
909,910,Tumor 2 (Ki67 Proliferating),Tumor
963,964,Tumor 3,Tumor
889,890,Tumor 4,Tumor
1808,1809,Tumor 4,Tumor
1877,1878,Tumor 4,Tumor
1761,1762,Tumor 4,Tumor
1807,1808,Tumor 4,Tumor
1605,1606,Tumor 4,Tumor
1843,1844,Tumor 4,Tumor
2032,2033,Tumor 1,Tumor
1869,1870,Tumor 2 (Ki67 Proliferating),Tumor
1983,1984,Tumor 3,Tumor
1982,1983,Tumor 1,Tumor
1023,1024,Tumor 6 / DC,Tumor
1696,1697,Tumor 7,Tumor
1673,1674,Tumor 4,Tumor
1998,1999,Tumor 4,Tumor
2007,2008,Tumor 1,Tumor
1945,1946,Tumor 1,Tumor
2139,2140,Tumor 4,Tumor
2147,2148,Tumor 4,Tumor
2000,2001,Tumor 1,Tumor
2065,2066,Tumor 4,Tumor
1996,1997,Tumor 4,Tumor
2027,2028,Tumor 4,Tumor
1986,1987,Tumor 4,Tumor
1985,1986,Tumor 2 (Ki67 Proliferating),Tumor
1888,1889,Tumor 4,Tumor
1896,1897,Tumor 4,Tumor
1955,1956,Tumor 4,Tumor
897,898,Tumor 4,Tumor
900,901,Tumor 3,Tumor
850,851,Tumor 7,Tumor
770,771,Tumor 4,Tumor
1454,1455,Tumor 1,Tumor
169,170,Tumor 4,Tumor
161,162,Tumor 4,Tumor
149,150,Tumor 4,Tumor
206,207,Tumor 4,Tumor
390,391,Tumor 4,Tumor
399,400,Tumor 4,Tumor
326,327,Tumor 4,Tumor
309,310,Tumor 3,Tumor
222,223,Tumor 3,Tumor
226,227,Tumor 3,Tumor
12,13,Tumor 2 (Ki67 Proliferating),Tumor
37,38,Tumor 3,Tumor
