,CELL_ID,CELL_TYPE,CELL_CLASS
1271,1272,Tumor 1,Tumor
2386,2387,Tumor 1,Tumor
6,7,Tumor 6 / DC,Tumor
295,296,Tumor 4,Tumor
269,270,Tumor 1,Tumor
215,216,Tumor 1,Tumor
223,224,Tumor 6 / DC,Tumor
811,812,Tumor 3,Tumor
167,168,Tumor 1,Tumor
1513,1514,Tumor 1,Tumor
2411,2412,Tumor 1,Tumor
2422,2423,Tumor 4,Tumor
2463,2464,Tumor 4,Tumor
2419,2420,Tumor 1,Tumor
2500,2501,Tumor 1,Tumor
2527,2528,Tumor 1,Tumor
20,21,Tumor 6 / DC,Tumor
19,20,Tumor 6 / DC,Tumor
13,14,Tumor 6 / DC,Tumor
27,28,Tumor 6 / DC,Tumor
5,6,Tumor 6 / DC,Tumor
7,8,Tumor 6 / DC,Tumor
8,9,Tumor 6 / DC,Tumor
31,32,Tumor 6 / DC,Tumor
4,5,Tumor 6 / DC,Tumor
859,860,Tumor 6 / DC,Tumor
427,428,Tumor 6 / DC,Tumor
342,343,Tumor 6 / DC,Tumor
375,376,Tumor 6 / DC,Tumor
379,380,Tumor 6 / DC,Tumor
456,457,Tumor 6 / DC,Tumor
1199,1200,Tumor 3,Tumor
1119,1120,Tumor 1,Tumor
1078,1079,Tumor 2 (Ki67 Proliferating),Tumor
1002,1003,Tumor 1,Tumor
979,980,Tumor 4,Tumor
806,807,Tumor 3,Tumor
845,846,Tumor 1,Tumor
817,818,Tumor 6 / DC,Tumor
98,99,Tumor 4,Tumor
158,159,Tumor 1,Tumor
137,138,Tumor 6 / DC,Tumor
179,180,Tumor 4,Tumor
484,485,Tumor 6 / DC,Tumor
15,16,Tumor 4,Tumor
763,764,Tumor 6 / DC,Tumor
439,440,Tumor 6 / DC,Tumor
422,423,Tumor 7,Tumor
435,436,Tumor 6 / DC,Tumor
479,480,Tumor 6 / DC,Tumor
2505,2506,Tumor 7,Tumor
2504,2505,Tumor 6 / DC,Tumor
2517,2518,Tumor 7,Tumor
1314,1315,Tumor 1,Tumor
756,757,Tumor 3,Tumor
495,496,Tumor 1,Tumor
519,520,Tumor 1,Tumor
516,517,Tumor 1,Tumor
120,121,Tumor 1,Tumor
1296,1297,Tumor 4,Tumor
2058,2059,Tumor 6 / DC,Tumor
2087,2088,Tumor 7,Tumor
2294,2295,Tumor 4,Tumor
18,19,Tumor 6 / DC,Tumor
0,1,Tumor 6 / DC,Tumor
22,23,Tumor 6 / DC,Tumor
12,13,Tumor 6 / DC,Tumor
2,3,Tumor 6 / DC,Tumor
14,15,Tumor 6 / DC,Tumor
21,22,Tumor 6 / DC,Tumor
46,47,Tumor 6 / DC,Tumor
58,59,Tumor 6 / DC,Tumor
69,70,Tumor 6 / DC,Tumor
238,239,Tumor 7,Tumor
23,24,Tumor 6 / DC,Tumor
29,30,Tumor 2 (Ki67 Proliferating),Tumor
24,25,Tumor 2 (Ki67 Proliferating),Tumor
9,10,Tumor 6 / DC,Tumor
10,11,Tumor 6 / DC,Tumor
3,4,Tumor 6 / DC,Tumor
1012,1013,Tumor 4,Tumor
1138,1139,Tumor 1,Tumor
1231,1232,Tumor 1,Tumor
1127,1128,Tumor 3,Tumor
1118,1119,Tumor 4,Tumor
1141,1142,Tumor 3,Tumor
1299,1300,Tumor 7,Tumor
