topic,ingredient,weight
Topic 1,sugar,0.2143461837265253
Topic 1,butter,0.11213487470828074
Topic 1,flour,0.10436315242755044
Topic 1,egg,0.07621594367156354
Topic 1,water,0.06812309427603962
Topic 1,vanilla,0.05988008515318143
Topic 1,milk,0.05687729820198346
Topic 1,baking powder,0.04209082027036587
Topic 1,salt,0.04151988955031851
Topic 1,cinnamon,0.03725268671880436
Topic 1,cream,0.025224210205514363
Topic 1,baking soda,0.022870102221904394
Topic 1,egg yolk,0.022338823875767952
Topic 1,chocolate,0.017848881771674145
Topic 1,lime juice,0.01169348461140756
Topic 2,onion,0.17913670639061305
Topic 2,bell pepper,0.11542467446141834
Topic 2,garlic,0.10276805665176825
Topic 2,tomato paste,0.0832294063967129
Topic 2,celery,0.039765438731667574
Topic 2,bay leaves,0.030821651022605784
Topic 2,oil,0.030552738283679236
Topic 2,tomatoes,0.03043462773058686
Topic 2,olive oil,0.030276890552286245
Topic 2,chicken broth,0.029410039016491293
Topic 2,rice,0.020881616953377504
Topic 2,thyme,0.02007810208390668
Topic 2,shrimp,0.018867985215314274
Topic 2,carrots,0.017743611198286696
Topic 2,parsley,0.016470571256401258
Topic 3,oil,0.23189200477863064
Topic 3,flour,0.07857515588750898
Topic 3,salt,0.07566246595419907
Topic 3,egg,0.06467554296494551
Topic 3,green onion,0.039335943416641775
Topic 3,soy sauce,0.03475565319440209
Topic 3,black pepper,0.028949437171100302
Topic 3,ginger,0.02601056421579477
Topic 3,butter,0.02337110945950399
Topic 3,milk,0.022278873664269064
Topic 3,sugar,0.018924788385094114
Topic 3,corn starch,0.01611424356950141
Topic 3,baking powder,0.01574792119902186
Topic 3,tumeric,0.013796067269350641
Topic 3,onion,0.012667182678873049
Topic 4,water,0.23548601803265104
Topic 4,black pepper,0.09370867131762535
Topic 4,salt,0.08273515684919396
Topic 4,onion,0.06057931159001556
Topic 4,carrots,0.03385537983893031
Topic 4,thyme,0.030958219382239388
Topic 4,bay leaves,0.02888450950061673
Topic 4,potatoes,0.024427922592896084
Topic 4,chopped garlic,0.019085446412531785
Topic 4,celery,0.01791298604664249
Topic 4,oil,0.017457030130156925
Topic 4,corn starch,0.016458116511845994
Topic 4,tomato paste,0.0138014310817599
Topic 4,olive oil,0.012976085009567878
Topic 4,diced onions,0.011245534943176832
Topic 5,soy sauce,0.12660662115315527
Topic 5,green onion,0.11669256559878532
Topic 5,garlic,0.09519249563817632
Topic 5,sugar,0.08219392382697192
Topic 5,sesame oil,0.073107382722032
Topic 5,ginger,0.059621433487394265
Topic 5,vinegar,0.03936870115457544
Topic 5,corn starch,0.029238582204453932
Topic 5,sesame seeds,0.029197028788196522
Topic 5,red pepper,0.023461151602962603
Topic 5,fish sauce,0.0191938678791621
Topic 5,rice wine,0.017296395907129128
Topic 5,oil,0.016573534927749815
Topic 5,chicken breasts,0.016396568136897965
Topic 5,hot sauce,0.015621207329020389
Topic 6,cilantro,0.10774944483599627
Topic 6,cumin,0.08192896375463253
Topic 6,lime juice,0.07189513376363423
Topic 6,salt,0.05613521983308446
Topic 6,tumeric,0.04295733718606104
Topic 6,oil,0.0397422538801685
Topic 6,ginger,0.0351082175717176
Topic 6,red pepper,0.03251738199454195
Topic 6,water,0.03226058246911603
Topic 6,garlic,0.03085988996350038
Topic 6,tomatoes,0.02657227336424305
Topic 6,coconut,0.025648589696254016
Topic 6,onion,0.024931608158986127
Topic 6,garam masala,0.021971608887813677
Topic 6,lime,0.019969969709468852
Topic 7,black pepper,0.16218536410044904
Topic 7,salt,0.1333619109465291
Topic 7,olive oil,0.10476009236769043
Topic 7,garlic,0.05611358815901304
Topic 7,lime juice,0.03644894820403954
Topic 7,butter,0.02887089519438435
Topic 7,thyme,0.023070641161885504
Topic 7,parsley,0.01923468488988343
Topic 7,egg,0.017554310359908367
Topic 7,parmesan cheese,0.01532339400990693
Topic 7,green onion,0.014923320231862033
Topic 7,diced onions,0.01357521977048879
Topic 7,tomatoes,0.013276752563463744
Topic 7,cooking spray,0.01268232226207151
Topic 7,paprika,0.012319226319996369
