topic,anchor_words,anchor_weights
1,vanilla,0.03498317752381964
1,egg yolk,0.02415304505882368
1,chocolate,0.013610128447369585
1,active dry yeast,0.007154203258224948
1,ice water,0.0057750535145190875
1,peaches,0.004145689538109852
1,cream of tartar,0.003769647214073756
1,almond extract,0.0032055427613732965
1,sweetened condensed milk,0.002954822016053428
1,strawberries,0.002766782544447399
2,avocado,0.010374807165577345
2,tortillas,0.009225345922845478
2,black beans,0.008445669149666579
2,salsa,0.005835453351357149
2,flour tortillas,0.005530356234237158
2,smoked sausage,0.003259114199849414
2,jack cheese,0.0031235311972178923
2,black olives,0.0025461831381591964
2,enchilada sauce,0.002309964035954851
2,tomatillos,0.002140465850599305
3,buttermilk,0.03216809233823157
3,cornmeal,0.024457495758011115
3,capers,0.021893298090249733
3,mussels,0.013947656761586127
3,fish,0.007809835306104539
3,pecans,0.0062915108682037105
3,dry yeast,0.006030268391470373
3,sherry vinegar,0.005882475456538312
3,catfish fillets,0.005878322337238196
3,roasted red peppers,0.005609490129071163
4,cider vinegar,0.010347452125770039
4,couscous,0.007875649777263342
4,lamb,0.005997168699289809
4,sweet paprika,0.004357080150560193
4,turnips,0.0041263801488832
4,lamb shoulder,0.0037039074204774495
4,preserved lemon,0.002964683151207594
4,apples,0.00271343260901111
4,parsnips,0.0022781593905976554
4,ras el hanout,0.0021197854579779346
5,soy sauce,0.05080226362266439
5,sesame oil,0.025987775197362294
5,fish sauce,0.018690344066253573
5,sesame seeds,0.01205060271501713
5,beansprouts,0.009153497308671502
5,peanuts,0.008143186935343187
5,rice wine,0.007975871122956814
5,oyster sauce,0.00623838686644151
5,lemongrass,0.00577505189299787
5,low sodium soy sauce,0.005736440002811574
6,garam masala,0.028152711099008847
6,green chilies,0.018617100242114458
6,clove,0.014474356845692666
6,coriander seeds,0.010566747678351541
6,mustard seeds,0.00947468670460355
6,garlic paste,0.008482647866107026
6,coriander powder,0.00774561198416075
6,yoghurt,0.006363606451344953
6,curry leaves,0.006087248148409797
6,cauliflower,0.004445968380596879
7,parmesan cheese,0.013440511547710598
7,rosemary,0.00534140987129327
7,white wine,0.004098272814034632
7,dry red wine,0.0034143132468908875
7,sausage,0.0032413427327504987
7,red wine,0.002763167492488315
7,crawfish,0.0020669002423421095
7,mozzarella cheese,0.00202309667852681
7,grits,0.0018090053110489794
7,lump crab meat,0.001553382754715407
