topic,anchor_words,anchor_weights
1,vanilla,0.05946904010029868
1,egg yolk,0.022224667385624147
1,chocolate,0.01768017631665982
1,raisins,0.011495034854026639
1,active dry yeast,0.005944834589511712
1,ground cloves,0.0032857725405932327
1,chopped pecans,0.002938652612508503
1,peaches,0.0027088281901009054
1,almond extract,0.0017804085343147988
1,cream of tartar,0.0017099915710844299
2,bell pepper,0.11506704313794668
2,andouille sausage,0.009025292987633177
2,cajun seasoning,0.007481416412512936
2,creole seasoning,0.00580468319236838
2,low salt chicken broth,0.00199698597106659
2,crawfish,0.000866334483373444
2,salt and ground black pepper,0.0008257868070087708
2,italian seasoning,0.00031012026819269125
2,fresh mushrooms,5.057182085773087e-05
3,cornmeal,0.00693509526231201
3,reduced sodium soy sauce,0.0008919572065792356
3,catfish fillets,0.0006144827895492992
3,mustard,0.0002116596930746605
3,dashi,7.185534676144118e-05
4,turnips,0.0033846547874547316
4,white vinegar,0.002922767632689717
4,peppercorns,0.00207592267886045
4,dried shiitake mushrooms,0.0017510330152230823
4,lard,0.0016072634083526553
4,dry yeast,0.0015769921995643457
4,smoked ham hocks,0.0015434934801866911
4,red kidney beans,0.001428999738291763
4,lamb shoulder,0.0013429574426107537
4,red beans,0.001235643914852437
5,sesame oil,0.07311873654715932
5,vinegar,0.039371509095165604
5,hoisin sauce,0.009952832753436133
5,low sodium soy sauce,0.006992374589248935
5,flank steak,0.0020804457275808643
5,snow peas,0.0015704347513263097
5,ramen,0.001554353859512627
5,dry sherry,0.000943517372329289
5,steak,0.0008819681487430013
5,garlic chili sauce,0.00045335176412159006
6,cilantro,0.10784047146968738
6,cumin,0.0820784279929598
6,coconut,0.02538446095321063
6,ground coriander,0.017107187133811843
6,plain yogurt,0.0034328341893572357
6,kaffir lime leaves,0.0024312861701936963
6,galangal,0.0018168674498959165
6,asian fish sauce,0.001637232876758507
6,flour tortillas,0.0015860453649662158
6,chile,0.0015845937395373886
7,feta cheese,0.010120222149821877
7,bread,0.005438722164966076
7,capers,0.004842861152343183
7,fresh oregano,0.0035032439915919106
7,fresh parmesan cheese,0.0020762190543112584
7,sherry vinegar,0.0018273732331385835
7,fresh basil leaves,0.0017448141440744539
7,roasted red peppers,0.0015652802927795353
7,grated lemon zest,0.0014834243443057058
7,ground lamb,0.0014524209100853938
