topic,top5,top5_weights
1,sugar,0.12309022055855671
1,flour,0.08934524530096022
1,butter,0.07836233320920129
1,salt,0.06665462867120299
1,egg,0.0621952581501655
1,milk,0.04901729465555148
1,vanilla,0.03498317752381964
1,water,0.033161091236712285
1,baking powder,0.02925979560708032
1,cinnamon,0.02502949481910949
2,salt,0.05532592099321597
2,onion,0.05341993137147314
2,garlic,0.04886493741853182
2,black pepper,0.04248846564888094
2,bell pepper,0.04092763132326107
2,olive oil,0.040183270865050504
2,cilantro,0.029463089754408544
2,tomatoes,0.025995330325356024
2,tomato paste,0.02500685238281827
2,cumin,0.024365524926245104
3,salt,0.07114993031282776
3,flour,0.057416892948231386
3,egg,0.056316044054335136
3,oil,0.03714544886539115
3,buttermilk,0.03216809233823157
3,olive oil,0.026633099351876237
3,black pepper,0.02615165353420789
3,cornmeal,0.024457495758011115
3,capers,0.021893298090249733
3,bread,0.02164762763697098
4,black pepper,0.059388037632075695
4,salt,0.058923801274624876
4,onion,0.04158641561257947
4,olive oil,0.036646808153616386
4,cinnamon,0.03622773673627369
4,garlic,0.035834356602454646
4,paprika,0.025678945350694485
4,cumin,0.0255403224095814
4,water,0.018859509115107982
4,seasoning,0.018792297985329567
5,soy sauce,0.05080226362266439
5,oil,0.04938512765605928
5,green onion,0.046440123189618626
5,garlic,0.043337547899975196
5,sugar,0.042932780638030514
5,salt,0.03132675732832508
5,ginger,0.03048499387531621
5,water,0.02708854043228314
5,sesame oil,0.025987775197362294
5,black pepper,0.023684958467515352
6,salt,0.0563647595332067
6,oil,0.05058765856846761
6,onion,0.04913064185336188
6,cumin,0.048691338395168524
6,tumeric,0.04557719611858782
6,ginger,0.040408257498790644
6,cilantro,0.03703950081406982
6,garlic,0.03643349497587523
6,garam masala,0.028152711099008847
6,water,0.025789334505404247
7,black pepper,0.0608808208656455
7,salt,0.057897996426184296
7,garlic,0.04686805662762986
7,onion,0.04404325283787552
7,olive oil,0.04093297041750763
7,butter,0.030652337613211
7,thyme,0.026279480382613414
7,tomato paste,0.025249878506334787
7,celery,0.02240005092844869
7,flour,0.022066298286540352
