topic,top5,top5_weights
1,sugar,0.21458335490574496
1,butter,0.11228704727230607
1,flour,0.1046223568119081
1,egg,0.0763099999858861
1,water,0.06789381192430144
1,vanilla,0.05946904010029868
1,milk,0.056926475983581235
1,baking powder,0.041982035229513326
1,salt,0.041875321068268405
1,cinnamon,0.03708529611765864
2,onion,0.1783190357216897
2,bell pepper,0.11506704313794668
2,garlic,0.10243304565209495
2,tomato paste,0.08294521840416645
2,celery,0.039484988524478244
2,olive oil,0.030892440550424838
2,bay leaves,0.030816835445253682
2,tomatoes,0.030434653673801895
2,oil,0.03021323886523048
2,chicken broth,0.02916043773491518
3,oil,0.23059889186706556
3,flour,0.07787992692640103
3,salt,0.07502945206332157
3,egg,0.06417645219644921
3,green onion,0.039086596198026624
3,soy sauce,0.03459745430850848
3,black pepper,0.02819027436863535
3,ginger,0.026015391877793056
3,butter,0.023046274305069385
3,milk,0.022080029187339693
4,water,0.23218903676638317
4,black pepper,0.09316734458406552
4,salt,0.08177368159182462
4,onion,0.060148174157830504
4,carrots,0.033283398000944854
4,thyme,0.030657214373018375
4,bay leaves,0.02855798208517179
4,potatoes,0.023984739083895174
4,chopped garlic,0.018800455205441307
4,celery,0.017738246176811447
5,soy sauce,0.12708766911356978
5,green onion,0.11743640853477398
5,garlic,0.09511694241856071
5,sugar,0.08205261130975704
5,sesame oil,0.07311873654715932
5,ginger,0.0598487162660984
5,vinegar,0.039371509095165604
5,corn starch,0.02929165591487232
5,sesame seeds,0.029133303315789876
5,red pepper,0.0235639994622296
6,cilantro,0.10784047146968738
6,cumin,0.0820784279929598
6,lime juice,0.07210918807556148
6,salt,0.05587170478716603
6,tumeric,0.042774778813236505
6,oil,0.03961005767883385
6,ginger,0.034867038159823775
6,red pepper,0.03249312341162577
6,water,0.03178342719678218
6,garlic,0.03136440475220253
7,black pepper,0.16336459744387982
7,salt,0.13426105954922973
7,olive oil,0.10479130064529954
7,garlic,0.056572557001271936
7,lime juice,0.03608183093758316
7,butter,0.029094228719805913
7,thyme,0.023119166971023633
7,parsley,0.019234939989412822
7,egg,0.01763284756541239
7,parmesan cheese,0.015283144862871512
